neighborhood,population,overall_crime_rate,number_arrests_murder,crime_rate_murder,number_arrests_rape,crime_rate_rape,number_arrests_robbery,crime_rate_robbery,number_arrests_assault,crime_rate_assault,number_arrests_burglary,crime_rate_burglary,number_arrests_larceny,crime_rate_larceny
31st Ward,7594,2.03,0,0,1,0.01,7,0.09,45,0.6,55,0.73,45,0.6
Allegheny Center,588,52.04,0,0,2,0.34,24,4.08,30,5.1,14,2.38,236,40.14
Allegheny West,1159,14.33,1,0.09,3,0.26,16,1.38,17,1.47,53,4.57,76,6.56
Allentown,5042,3.13,0,0,1,0.08,23,0.46,41,0.81,48,0.95,45,0.89
Arlington,4758,2.5,0,0,0,0,7,0.15,33,0.69,44,0.92,35,0.74
Arlington Heights,1989,6.19,0,0,2,0.1,14,0.7,61,3.07,21,1.06,25,1.26
Banksville,6235,1.94,0,0,2,0.03,8,0.13,8,0.13,53,0.85,50,0.8
Bedford Dwellings,3635,2.64,1,0.03,4,0.11,11,0.3,25,0.69,36,0.99,19,0.52
Beechview,12965,1.98,1,0.01,1,0.01,26,0.2,43,0.33,84,0.65,101,0.78
Beltzhoover,5980,6.37,1,0.02,3,0.05,63,1.05,58,0.97,121,2.02,135,2.26
Bloomfield,13613,4.16,0,0,5,0.04,52,0.38,77,0.57,196,1.44,235,1.73
Bon Air,1428,2.94,0,0,1,0.07,1,0.07,8,0.56,23,1.61,9,0.63
Brighton Heights,10615,1.64,0,0,2,0.02,9,0.08,40,0.38,72,0.68,51,0.48
Brookline,16824,1.91,0,0,1,0.01,22,0.13,56,0.33,123,0.73,119,0.71
California Ave.,1343,4.31,0,0,2,0.15,7,0.52,14,1.04,25,1.86,10,0.74
Carrick,15491,1.98,1,0.01,5,0.03,19,0.12,68,0.44,123,0.79,92,
Central North Side,7872,9.24,1,0.01,4,0.05,115,1.46,208,2.64,183,2.32,217,2.76
Crafton Heights - Westwood - Oakwood,10081,1.41,1,0.01,1,0.01,10,0.1,22,0.22,66,0.65,42,0.42
East Carnegie,992,1.82,0,0,0,0,0,0,3,0.3,7,0.71,8,0.81
East Hills,5303,3,2,0.04,5,0.09,16,0.3,30,0.57,69,1.3,37,0.7
East Liberty,4054,16.63,1,0,5,0.12,81,2,81,2,182,4.49,324,8.00
East North Side,6119,6.16,0,0,4,0.07,57,0.93,102,1.67,89,1.45,125,2.04
Elliot,4955,1.7,0,0,0,0,4,0.08,29,0.59,21,0.42,30,0.61
Esplen,996,4.31,0,0,0,0,1,0.1,12,1.2,12,1.2,18,1.81
Friendship,2136,6.64,0,0,2,0.09,8,0.37,16,0.75,62,2.9,54,2.53
Garfield,11396,3.69,1,0.01,6,0.05,48,0.42,100,0.88,123,1.08,142,1.25
Greenfield,11905,2.38,0,0,3,0.03,13,0.11,36,0.3,141,1.18,91,0.76
Harpen Hilltop,2337,0.99,0,0,0,0,2,0.09,3,0.13,6,0.26,12,0.51
Hazelwood-Glenwood-Glen Hazel,11877,3.16,0,0,1,0.01,53,0.45,125,1.05,96,0.81,100,0.84
Highland Park,13227,3.01,0,0,6,0.05,18,0.14,45,0.34,132,1,196,1.48
Homewood North,8645,3.17,3,0.03,5,0.05,36,0.41,84,0.97,90,1.04,58,0.67
Homewood South,8876,6.68,3,0.03,9,0.1,103,1.16,132,1.48,210,2.46,138,1.55
Homewood West,2745,4.07,1,0.01,5,0.91,22,0.4,49,0.89,62,1.13,40,0.73
Knoxville,6527,2.96,0,0,1,0.02,30,0.46,42,0.64,43,0.66,77,1.18
Larimer,7397,4.95,1,0.01,4,0.05,69,0.93,84,1.14,103,1.39,106,1.43
Lawrenceville,8043,3.98,0,0,3,0.04,19,0.24,70,0.87,100,1.24,128,1.59
Lincoln-Lemington-Belmar,9468,2.93,4,0.04,5,0.05,50,0.53,46,0.49,104,1.1,68,0.72
Lower Lawrenceville,4315,7.29,1,0.02,3,0.06,26,0.6,53,1.22,151,3.49,82,1.9
Lower Oakland,6135,10.51,0,0,6,0.1,48,0.78,78,1.27,249,4.06,264,4.3
Manchester,5458,9.17,3,0.05,8,0.15,42,0.77,112,2.05,188,3.44,148,2.71
Middle Hill,8316,8.54,2,0.02,18,0.22,139,1.67,141,1.7,257,3.09,153,1.84
Morningside,4733,1.61,0,0,1,0.02,1,0.02,8,0.17,26,0.55,40,0.85
Mount Washington - Duquesne Heights,19237,3.14,0,0,3,0.02,36,0.19,113,0.59,233,1.21,217,1.13
North Oakland,11090,8.22,1,0.01,5,0.05,109,0.85,53,0.48,258,2.32,500,4.51
North View Heights,4561,5.38,0,0,3,0.07,31,0.68,92,2.02,67,1.47,52,1.14
Perry North,7584,1.84,0,0,2,0.03,5,0.07,38,0.5,34,0.45,60,0.79
Perry South,13255,3.74,1,0.01,11,0.08,44,0.33,170,1.28,150,1.13,120,0.91
Point Breeze,3135,4.79,0,0,3,0.1,29,0.93,9,0.29,60,1.91,49,1.56
Polish Hill,3005,3.03,0,0,0,0,6,0.2,14,0.47,40,1.33,31,1.03
Regent Square,1212,4.54,0,0,0,0,4,0.33,1,0.08,22,1.82,28,2.31
Ridgemont - Chicken Hill,3125,3.29,1,0.03,4,0.13,14,0.45,6,0.19,36,1.15,42,1.34
Shadeland Halls Grove,7984,1.79,1,0.01,3,0.04,9,0.11,35,0.44,49,0.61,46,0.58
Shadyside,16867,7.26,0,0,24,0.14,148,0.87,83,0.49,482,2.85,492,2.91
Sheraton Chartiers,10050,1.96,0,0,2,0.02,14,0.14,44,0.44,62,0.62,74,0.74
South Oakland,5058,5.08,0,0,2,0.04,30,0.59,40,0.79,81,1.6,104,2.06
Southside Flats,9556,5.41,1,0.01,4,0.04,59,0.62,155,1.62,139,1.45,160,1.67
Southside Slopes,8354,1.82,0,0,2,0.02,16,0.19,42,0.5,48,0.57,45,0.54
Spring Hill,7937,4.71,1,0.01,1,0.01,7,0.09,33,0.42,25,0.31,61,0.77
Squirrel Hill - North of Forbes,21188,3.84,0,0,5,0.02,62,0.29,45,0.21,365,1.72,339,1.6
Squirrel Hill - South of Forbes,16761,6.36,0,0,7,0.04,61,0.36,85,0.51,359,2.14,554,3.31
St. Clair,5203,6.31,1,0.02,6,0.12,19,0.37,110,2.11,130,2.5,62,1.19
Stanton Heights,6415,2.54,0,0,0,0,11,0.17,16,0.25,71,1.11,65,1.01
The Strip,849,33.56,0,0,4,0.47,23,2.7,45,5.3,107,12.6,123,14.49
Swisshelm Park,2041,1.72,0,0.00,1,0.05,0,0.00,4,0.20,12,0.59,18,0.88
Terrace Village,8135,6.69,5,0.06,16,0.2,84,1.03,109,1.34,178,2.19,152,1.87
The Bluff,4082,10.14,0,0,6,0.15,63,1.54,61,1.49,84,2.06,200,4.9
Troy Hill,5241,1.78,1,0.02,2,0.04,7,0.13,23,0.44,23,0.44,37,0.71
Upper Hill,4187,3.81,1,0.02,4,0.1,30,0.72,22,0.52,63,1.5,160,3.81
Upper Lawrenceville,5747,1.8,0,0,1,0.02,3,0.05,26,0.45,45,0.78,29,0.5
West End Valley,335,13.73,0,0,2,0.6,4,1.19,6,1.79,15,4.48,19,5.67
